text,label
ISRO successfully launched Chandrayaan-3 to the Moon.,1
Government approved a new subsidy scheme for small farmers.,1
NASA confirms discovery of water ice on the Moon.,1
प्रधानमंत्री ने नई शिक्षा नीति की घोषणा की है।,1
ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿ ಇಂದು ಕೋವಿಡ್-19 ನಿರ್ಧಾರಗಳು ಕಡಿಮೆ ಆಯಿವೆ.,1
சென்னை இன்றே புதிய மெட்ரோ ரெயில் திட்டம் தொடங்கியது.,1
భారత్‌లో డిజిటల్ విద్యా కార్యక్రమాలు కొత్తగా ప్రారంభించబడ్డాయి.,1
Virat Kohli passed away in a car accident yesterday.,0
Modi banned all oxygen supply in India last night.,0
Free 50 lakh rupees if you click this link now.,0
दिल्ली में कल से सभी स्कूल बंद कर दिए गए हैं।,0
ಬೆಂಗಳೂರುನಲ್ಲಿ ನಾಳೆಯಿಂದ ಎಲ್ಲಾ ಶಾಲೆಗಳು ಮುಚ್ಚಲ್ಪಡುತ್ತದೆ.,0
హైదరాబాద్‌లో మొత్తం లాక్‌డౌన్ రేపు నుండి అమలు అవుతుంది.,0
சென்னை முழுவதும் இன்று ஊரடங்கு அமல் செய்யப்பட்டது என்பது வதந்தி.,0
NASA discovered aliens living on Mars yesterday.,0
Scientists confirmed a new species of frog in Amazon rainforest.,1
प्रधानमंत्री ने देश में कोरोना टीकाकरण अभियान बढ़ाया है।,1
ಬೆಂಗಳೂರು ಮೆಟ್ರೋ ನೇರವೇರಿಕೆ ಯೋಜನೆ ಮುಂದುವರೆಯಲಿದೆ.,1
சென்னை மாநகராட்சியில் புதிய நூலகம் திறக்கப்பட்டது.,1
భారత్‌లో కొత్త రైల్వే స్టేషను ప్రారంభించబడింది.,1
Breaking: Elon Musk announces Mars colony plan.,0
प्रधानमंत्री ने आज सभी स्कूल बंद करने की घोषणा की यह झूठी खबर है।,0
ಬೆಂಗಳೂರು ಮೆಟ್ರೋ ನವೀಕರಣ ಯೋಜನೆ ರದ್ದು ಮಾಡಲಾಗಿದೆ ಎಂದು ಸುಳ್ಳು ಸುದ್ದಿ.,0
சென்னை முழு மாநகரில் நேற்று ஊரடங்கு அறிவிப்பு போலி.,0
హైదరాబాద్‌లో కొత్త కైలా నిర్మాణం రద్దు అయిందని వార్త అసత్యం.,0
Free iPhone giveaway if you submit your details now.,0
Shocking: Tiger Woods involved in a fatal crash yesterday.,0
NASA found a secret base on the Moon yesterday.,0
Scientists discovered a pill that makes you immortal.,0